experiment,run_id,step,states,paths,path_lengths,rooms,objects
plr-c,xg0htta8,10,4.183181,1.3254541,2.890566,1.7534983,4.060167
plr-c,xg0htta8,110,4.47831,1.4271326,3.0619764,4.0484185,11.146046
plr-c,xg0htta8,210,4.7931423,1.4249424,3.3712292,4.7892575,13.200741
plr-c,xg0htta8,310,4.8695064,1.3925743,3.519401,5.0777707,13.701328
plr-c,xg0htta8,410,5.1087465,1.4918737,3.6984873,4.890704,13.69132
plr-c,xg0htta8,510,5.2479806,1.7159531,3.7649465,5.123325,14.436625
plr-c,xg0htta8,610,5.2856307,1.7914555,3.750546,5.2218833,14.695542
plr-c,xg0htta8,710,5.3053226,1.8321259,3.7499795,5.1574354,14.815408
plr-c,xg0htta8,810,5.2824926,1.5753725,3.8008056,5.100258,14.741609
plr-c,xg0htta8,910,5.295087,1.5583087,3.8400164,5.265317,15.115292
plr-c,xg0htta8,1010,5.352914,1.4635794,3.9686732,5.3105917,15.281732
plr-c,xg0htta8,1110,5.333377,1.506421,3.9218583,5.3202677,15.3039
plr-c,xg0htta8,1210,5.38212,1.541019,3.9405735,5.4025764,15.237777
plr-c,xg0htta8,1310,5.3646727,1.6654717,3.8642201,5.3971086,15.503289
plr-c,xg0htta8,1410,5.3435163,1.5402683,3.9074636,5.449764,15.676981
plr-c,xg0htta8,1510,5.324799,1.544999,3.8809564,5.350118,15.184792
plr-c,xg0htta8,1610,5.34381,1.5999262,3.8776076,5.3272758,15.176401
plr-c,xg0htta8,1710,5.35545,1.5154042,3.91792,5.360706,14.476381
plr-c,xg0htta8,1810,5.3723817,1.6840328,3.8404484,5.439357,14.961536
plr-c,xg0htta8,1910,5.3867016,1.7438953,3.8253,5.479615,15.260615
plr-c,xg0htta8,2010,5.4342957,1.7080077,3.8943737,5.4245443,15.084089
plr-c,xg0htta8,2110,5.394473,1.6231301,3.8964093,5.3254485,14.993023
plr-c,xg0htta8,2210,5.428957,1.7191463,3.8756847,5.302079,14.409856
plr-c,xg0htta8,2310,5.4282866,1.6766758,3.9025402,5.3442965,15.478752
plr-c,xg0htta8,2410,5.4475794,1.6008687,3.9565938,5.3308754,14.896434
plr-c,xg0htta8,2510,5.4330497,1.5807436,3.960934,5.3053474,14.961285
plr-c,xg0htta8,2610,5.4167504,1.7027514,3.8443975,5.0808673,14.5511465
plr-c,xg0htta8,2710,5.4571366,1.7097721,3.9024339,5.13183,14.620922
plr-c,xg0htta8,2810,5.45862,1.6316125,3.927909,5.310509,14.664768
plr-c,xg0htta8,2910,5.477681,1.7829719,3.8587017,5.3477983,14.819609
plr-c,xg0htta8,3000,5.4521284,1.6705024,3.9058309,5.4295797,15.186581
