experiment,run_id,step,states,rooms,objects
accel_full-i,uqvjyc0t,1910,5.2263975,5.6587954,15.865778
accel_full-i,uqvjyc0t,2000,5.178402,5.684014,15.544717
accel_full-i,cwdhdkw3,10,3.087294,3.7289853,8.942291
accel_full-i,cwdhdkw3,110,3.3601694,4.6016693,10.028864
accel_full-i,cwdhdkw3,210,3.8883982,4.696596,10.342589
accel_full-i,cwdhdkw3,310,4.2524495,5.0221624,12.383205
accel_full-i,cwdhdkw3,410,4.447147,5.052929,13.152016
accel_full-i,cwdhdkw3,510,4.4810157,5.274951,14.548968
accel_full-i,cwdhdkw3,610,4.692992,5.378093,14.706266
accel_full-i,cwdhdkw3,710,4.7107306,5.3474283,15.232033
accel_full-i,cwdhdkw3,810,4.7706246,5.43749,15.205724
accel_full-i,cwdhdkw3,910,4.6082277,5.3987713,15.616102
accel_full-i,cwdhdkw3,1010,5.024725,5.4784565,16.124031
accel_full-i,cwdhdkw3,1110,5.1498127,5.39196,15.589464
accel_full-i,cwdhdkw3,1210,5.1706657,5.5878305,15.804143
accel_full-i,cwdhdkw3,1310,5.178838,5.400373,15.716246
accel_full-i,cwdhdkw3,1410,5.1276045,5.635913,15.39142
accel_full-i,cwdhdkw3,1510,5.130886,5.587658,15.279383
accel_full-i,cwdhdkw3,1610,5.144845,5.6764936,15.170389
accel_full-i,cwdhdkw3,1710,5.048733,5.6421533,15.428881
accel_full-i,cwdhdkw3,1810,5.148036,5.599167,15.440165
accel_full-i,cwdhdkw3,1910,5.227648,5.5060472,14.764649
accel_full-i,cwdhdkw3,2000,5.073285,5.4580927,15.42791
accel_full-i,4bkk4yux,10,3.1658578,3.7263198,9.556715
accel_full-i,4bkk4yux,110,3.1274948,4.3143415,9.744848
accel_full-i,4bkk4yux,210,3.6098228,4.82061,11.280066
accel_full-i,4bkk4yux,310,4.2211385,5.0557756,13.045951
accel_full-i,4bkk4yux,410,4.5207515,5.018594,13.102601
accel_full-i,4bkk4yux,510,4.60975,5.3869896,14.390565
accel_full-i,4bkk4yux,610,4.628834,5.475238,15.297463
accel_full-i,4bkk4yux,710,4.6263638,5.547112,14.841487
accel_full-i,4bkk4yux,810,4.886995,5.45912,15.009799
accel_full-i,4bkk4yux,910,4.8240976,5.5659676,15.362576
accel_full-i,4bkk4yux,1010,4.853009,5.6070757,15.44593
accel_full-i,4bkk4yux,1110,4.8951774,5.6145897,15.726486
accel_full-i,4bkk4yux,1210,4.969143,5.354167,15.198988
